emp_id,age,age_group,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,salary_slab,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
RM297,18,18-25,yes,travel_rarely,230.0,research & development,3,3,life sciences,1,405,3,male,54.0,3,1,laboratory technician,3,single,1420.0,upto 5k,25233.0,1,y,no,13,3,3,80,0,0,2,3,0,0,0,0
RM302,18,18-25,no,travel_rarely,812.0,sales,10,3,medical,1,411,4,female,69.0,2,1,sales representative,3,single,1200.0,upto 5k,9724.0,1,y,no,12,3,1,80,0,0,2,3,0,0,0,0
RM458,18,18-25,yes,travel_frequently,1306.0,sales,5,3,marketing,1,614,2,male,69.0,3,1,sales representative,2,single,1878.0,upto 5k,8059.0,1,y,yes,14,3,4,80,0,0,3,3,0,0,0,0
RM728,18,18-25,no,non-travel,287.0,research & development,5,2,life sciences,1,1012,2,male,73.0,3,1,research scientist,4,single,1051.0,upto 5k,13493.0,1,y,no,15,3,4,80,0,0,2,3,0,0,0,0
RM829,18,18-25,yes,non-travel,247.0,research & development,8,1,medical,1,1156,3,male,80.0,3,1,laboratory technician,3,single,1904.0,upto 5k,13556.0,1,y,no,12,3,4,80,0,0,0,3,0,0,0,0
RM973,18,18-25,no,non-travel,1124.0,research & development,1,3,life sciences,1,1368,4,female,97.0,3,1,laboratory technician,4,single,1611.0,upto 5k,19305.0,1,y,no,15,3,3,80,0,0,5,4,0,0,0,0
RM1154,18,18-25,yes,travel_frequently,544.0,sales,3,2,medical,1,1624,2,female,70.0,3,1,sales representative,4,single,1569.0,upto 5k,18420.0,1,y,yes,12,3,3,80,0,0,2,4,0,0,0,0
RM1312,18,18-25,no,non-travel,1431.0,research & development,14,3,medical,1,1839,2,female,33.0,3,1,research scientist,3,single,1514.0,upto 5k,8018.0,1,y,no,16,3,3,80,0,0,4,1,0,0,0,0
RM128,19,18-25,yes,travel_rarely,528.0,sales,22,1,marketing,1,167,4,male,50.0,3,1,sales representative,3,single,1675.0,upto 5k,26820.0,1,y,yes,19,3,4,80,0,0,2,2,0,0,0,0
RM150,19,18-25,no,travel_rarely,1181.0,research & development,3,1,medical,1,201,2,female,79.0,3,1,laboratory technician,2,single,1483.0,upto 5k,16102.0,1,y,no,14,3,4,80,0,1,3,3,1,0,0,0
RM172,19,18-25,yes,travel_frequently,602.0,sales,1,1,technical degree,1,235,3,female,100.0,1,1,sales representative,1,single,2325.0,upto 5k,20989.0,0,y,no,21,4,1,80,0,1,5,4,0,0,0,0
RM178,19,18-25,yes,travel_rarely,303.0,research & development,2,3,life sciences,1,243,2,male,47.0,2,1,laboratory technician,4,single,1102.0,upto 5k,9241.0,1,y,no,22,4,3,80,0,1,3,2,1,0,1,0
RM423,19,18-25,yes,travel_rarely,489.0,human resources,2,2,technical degree,1,566,1,male,52.0,2,1,human resources,4,single,2564.0,upto 5k,18437.0,1,y,no,12,3,3,80,0,1,3,4,1,0,0,0
RM689,19,18-25,yes,travel_rarely,419.0,sales,21,3,other,1,959,4,male,37.0,2,1,sales representative,2,single,2121.0,upto 5k,9947.0,1,y,yes,13,3,2,80,0,1,3,4,1,0,0,0
